id,name,host_id,host_name,neighbourhood,neighbourhood_group,latitude,longitude,property_type,room_type,price,minimum_nights,last_review,reviews_per_month,City
25233798.0,B4 - Chicago Next to Downtown - Private Room,109075524,Lynn,Neighborhood highlights,Near West Side,41.87632,-87.68113,Private room in home,Private room,30.0,2,2/16/2025,3.6,Chicago
25238570.0,Downtown Elegance ✨ Private Yard Parking,41862889,Alexandra,Neighborhood highlights,Near North Side,41.9064,-87.63715,Entire townhouse,Entire home/apt,621.0,2,2/16/2025,2.05,Chicago
25256823.0,"Newly Renovated, Spacious 2BR in Andersonville",76763152,Brett,Edgewater,Edgewater,41.98773,-87.67004,Entire rental unit,Entire home/apt,105.0,3,2/25/2025,3.14,Chicago
25278191.0,Walk to the Beach and Golf from our 3 story home.,141061318,Desired Properties,Neighborhood highlights,Woodlawn,41.77483,-87.58943,Entire townhouse,Entire home/apt,138.0,32,8/4/2022,0.79,Chicago
25292554.0,Logan Square Lookout,17847673,Patrick,Neighborhood highlights,Avondale,41.93413,-87.70511,Entire rental unit,Entire home/apt,147.0,1,2/26/2025,6.58,Chicago
25293703.0,Wrigleyville Friends Unit,42518018,M J,Neighborhood highlights,Lake View,41.94472,-87.65031,Entire rental unit,Entire home/apt,347.0,2,10/13/2024,1.36,Chicago
25940510.0,Peaceful River West Apt with free parking,145239744,Mando,Neighborhood highlights,West Town,41.89097977,-87.64466858,Entire rental unit,Entire home/apt,191.0,2,3/5/2025,4.9,Chicago
25944899.0,Rose of Roscoe,195015117,Brenda,Neighborhood highlights,Lake View,41.93712,-87.67301,Entire home,Entire home/apt,228.0,2,11/30/2024,0.84,Chicago
25969163.0,Chicago Addison St 2 bed/2 bath condo w/parking,47344688,Thaer,Dunning,Dunning,41.94653,-87.81917,Entire rental unit,Entire home/apt,112.0,2,3/1/2025,2.0,Chicago
25969271.0,"Chicago Addison St. 1 bed/1 bath condo, Garden Lvl",47344688,Thaer,Dunning,Dunning,41.94616,-87.82059,Entire rental unit,Entire home/apt,68.0,2,2/16/2025,1.0,Chicago
25984142.0,"★★★Charming 2BR near downtown, +FREE parking★★★",151133847,Candace,Neighborhood highlights,West Town,41.89355,-87.6621,Entire condo,Entire home/apt,119.0,3,2/16/2025,2.49,Chicago
26029969.0,"Huge Sunlit Gem, Free Parking, No Cleaning Fee",26535257,Leigh,Neighborhood highlights,Lake View,41.93731,-87.65372,Entire home,Entire home/apt,549.0,5,1/4/2025,1.43,Chicago
26034464.0,Susie's Space. 2BR easy parking & pet friendly,17657217,Susan,Neighborhood highlights,Avondale,41.93291,-87.69085,Entire condo,Entire home/apt,113.0,2,3/10/2025,4.05,Chicago
26039928.0,Garden Unit Getaway-Bucktown,188795199,Keith,Neighborhood highlights,Logan Square,41.91803,-87.68115,Entire rental unit,Entire home/apt,135.0,1,2/28/2025,3.83,Chicago
26061168.0,Excellent Cozy BuckTown,191156752,John,Neighborhood highlights,West Town,41.91082,-87.67324,Entire home,Entire home/apt,91.0,32,10/19/2024,0.24,Chicago
25307850.0,Classic BuckTown with Backyard & Garage Parking.,191156752,John,Neighborhood highlights,West Town,41.90869,-87.67343,Entire home,Entire home/apt,95.0,32,8/4/2024,0.53,Chicago
25315844.0,Wicker Park 7 Beds Crash Pad,1649647,Bianca,Neighborhood highlights,West Town,41.89283,-87.6742,Entire home,Entire home/apt,137.0,2,1/1/2025,0.82,Chicago
26111681.0,1 #12 - 2 Bedroom 1 Bath Condo - McCormick Place,178710732,Annie,Neighborhood highlights,Armour Square,41.85331,-87.63321,Entire condo,Entire home/apt,224.0,2,12/1/2024,1.48,Chicago
26133988.0,Room C Queen size bed,40832295,Shannon,Neighborhood highlights,Belmont Cragin,41.91939163,-87.77946472,Private room in home,Private room,135.0,1,8/7/2023,0.2,Chicago
26138093.0,♥ 3BR/2.5 BA House + Roof Deck in Wicker Park  ♥,5312983,Christopher,Neighborhood highlights,West Town,41.90989,-87.6898,Entire home,Entire home/apt,364.0,3,2/26/2025,0.78,Chicago
26198663.0,Quiet room near McCormick- for women,196906001,Addie And Boon,Neighborhood highlights,Douglas,41.82922,-87.61972,Private room in condo,Private room,138.0,1,10/9/2023,0.98,Chicago
26199959.0,Quaint West Town bedroom!,4478538,Abhineyt,Neighborhood highlights,West Town,41.8942,-87.66349,Private room in guest suite,Private room,54.0,32,8/25/2019,0.37,Chicago
26234572.0,Cozy Basement Studio (Galewood) near Oak Park,25553049,Emily,Neighborhood highlights,Austin,41.91341,-87.79084,Entire guest suite,Entire home/apt,115.0,2,10/20/2024,1.41,Chicago
26253486.0,Private room(s) at a great home in Little Italy .,22507060,Gerardo Andres,Near West Side,Near West Side,41.86875,-87.6611,Private room in home,Private room,115.0,2,11/17/2024,1.16,Chicago
26296254.0,Ideal location w easy parking. Quiet 2-bedroom.,127727500,Yusif,Neighborhood highlights,Logan Square,41.92131,-87.68675,Entire rental unit,Entire home/apt,218.0,32,5/30/2022,0.17,Chicago
26337715.0,Behind the Beaten Path,185912680,Julia,Neighborhood highlights,Humboldt Park,41.9026,-87.70854,Entire rental unit,Entire home/apt,76.0,32,11/8/2024,1.75,Chicago
25318166.0,Lovely and Cozy Suite on Southport !,191215856,Caroline,Neighborhood highlights,Lake View,41.9371,-87.66278,Entire rental unit,Entire home/apt,112.0,3,2/23/2025,2.24,Chicago
25364755.0,Walk to Lake Michigan From a Contemporary Uptown Haven,191522990,Orel,Neighborhood highlights,Uptown,41.96549,-87.6592,Entire rental unit,Entire home/apt,54.0,1,3/6/2025,7.16,Chicago
26402837.0,"Cozy private room /Blue Line ,Metra train /",40425145,Grace,Neighborhood highlights,Irving Park,41.95774,-87.72984,Private room in condo,Private room,47.0,28,11/11/2022,0.33,Chicago
26428768.0,15 min Ohare/Rivers Casino/Downtown & Parking1,198731500,J.R.,Neighborhood highlights,Jefferson Park,41.97272,-87.77216,Entire rental unit,Entire home/apt,68.0,1,2/16/2025,2.76,Chicago
26476402.0,A Stones Throw from U Chicago South Campus!,65247752,Luke,Neighborhood highlights,Woodlawn,41.78477,-87.60005,Entire condo,Entire home/apt,128.0,3,3/11/2025,2.78,Chicago
26500795.0,Cozy Ukrainian Village Two Bedroom Apartment,5228189,Matthew,Neighborhood highlights,West Town,41.89833,-87.6934,Entire rental unit,Entire home/apt,160.0,2,1/12/2025,2.78,Chicago
26566001.0,SuperHost Downtown Apartment w/ Amenities,3965428,Paul,Near North Side,Near North Side,41.89758,-87.62173,Entire serviced apartment,Entire home/apt,130.0,90,6/1/2022,0.08,Chicago
